血統登録番号,StartDashScore,EarlyTrackingScore,DashMinusTracking,PastPositionScore,HistoryN,StructureSpread,Reliability,Type
2015100061,56.23,56.17,0.06,59.14,8,0.0804,66.7,バランス型
2015102904,45.81,45.83,-0.02,25.44,2,0.0083,14.0,バランス型
2015104337,45.26,46.64,-1.37,38.13,8,0.0765,65.8,バランス型
2015105200,49.91,48.26,1.65,44.72,8,0.0569,55.0,バランス型
2015105783,43.79,50.3,-6.5,39.65,7,0.0678,58.2,バランス型
2016100248,62.0,60.81,1.19,69.79,8,0.0462,49.0,バランス型
2016102188,45.1,43.79,1.31,33.77,6,0.1501,60.0,バランス型
2016103849,50.02,50.02,0.0,33.33,1,0.0,7.0,バランス型
2016104448,59.13,49.45,9.68,55.41,8,0.1068,66.7,テン型
2016104643,41.91,39.06,2.85,27.08,8,0.1413,66.7,バランス型
2016104770,50.02,50.02,0.0,33.33,1,0.0,7.0,バランス型
2013103153,48.8,54.0,-5.2,49.45,8,0.1766,66.7,バランス型
2015103128,45.09,45.06,0.04,36.48,8,0.0927,66.7,バランス型
2015104900,52.66,49.78,2.88,49.05,7,0.0689,58.8,バランス型
2016100543,32.38,33.9,-1.52,12.06,8,0.1042,66.7,バランス型
2016103499,44.19,42.1,2.09,32.58,8,0.0648,59.3,バランス型
2016104658,58.07,59.81,-1.74,64.91,8,0.1302,66.7,バランス型
2016104961,28.96,37.33,-8.37,11.0,8,0.1348,66.7,追走持続型
2016106606,42.27,46.08,-3.81,34.18,8,0.0881,66.7,バランス型
2011101045,35.12,46.78,-11.65,20.56,4,0.1938,50.0,追走持続型
2013104025,47.82,47.69,0.13,41.56,7,0.0604,54.3,バランス型
2014100645,56.07,60.86,-4.78,66.71,4,0.1647,50.0,バランス型
2014100726,77.92,67.16,10.76,100.0,5,0.089,55.6,テン型
2014101563,46.77,42.1,4.67,35.3,8,0.1635,66.7,バランス型
2014104032,64.4,64.96,-0.56,79.99,5,0.1305,55.6,バランス型
2015100887,45.82,52.39,-6.57,44.57,8,0.0969,66.7,バランス型
2015104074,38.95,42.64,-3.69,27.37,8,0.0816,66.7,バランス型
2015104190,38.22,46.36,-8.14,27.4,6,0.0656,53.8,追走持続型
2015104780,69.47,62.61,6.86,79.6,8,0.0827,66.7,バランス型
2016100559,72.45,71.02,1.42,90.81,8,0.102,66.7,バランス型
2016100784,61.82,59.22,2.59,68.25,8,0.0822,66.7,バランス型
2016104633,64.02,61.11,2.9,87.75,2,0.0542,26.7,バランス型
2012102059,48.64,48.64,0.0,25.0,1,0.0,7.0,バランス型
2014105641,50.34,52.96,-2.62,48.84,4,0.065,44.6,バランス型
2015102498,56.67,57.16,-0.49,61.69,5,0.0423,39.0,バランス型
2015103306,32.36,35.17,-2.81,13.37,8,0.0513,51.8,バランス型
2015105791,71.97,67.49,4.47,87.06,8,0.0914,66.7,バランス型
2016100824,74.82,73.85,0.97,96.1,8,0.0657,59.9,バランス型
2016101947,60.87,57.39,3.48,65.41,8,0.062,57.8,バランス型
2016102520,46.85,49.78,-2.93,40.26,4,0.0333,31.4,バランス型
2016103652,60.09,60.09,0.0,93.75,1,0.0,7.0,バランス型
2016105622,57.54,56.25,1.29,60.58,8,0.0165,32.5,バランス型
2016106324,32.91,34.3,-1.39,13.03,8,0.0633,58.5,バランス型
2017100357,51.77,47.66,4.11,45.79,8,0.0785,66.7,バランス型
2017103339,45.37,43.6,1.78,0.0,1,0.0,7.0,バランス型
2017104153,53.29,51.59,1.7,50.74,3,0.1903,42.9,バランス型
2017104186,52.36,52.14,0.22,46.67,1,0.0,7.0,バランス型
2017104666,53.16,53.12,0.04,52.54,2,0.0,11.7,バランス型
2017104706,61.57,63.39,-1.82,87.21,2,0.0,11.7,バランス型
2017104841,68.57,64.81,3.76,84.96,5,0.0595,47.0,バランス型
2017105137,41.76,47.57,-5.81,35.11,8,0.075,65.0,バランス型
2017105249,43.14,48.82,-5.67,33.64,4,0.1574,50.0,バランス型
2017105289,51.07,46.98,4.09,44.92,8,0.1252,66.7,バランス型
2017106747,44.79,43.74,1.05,19.64,2,0.025,18.6,バランス型
2017109074,59.35,60.68,-1.33,93.33,1,0.0,7.0,バランス型
2017109076,54.63,49.34,5.29,50.72,8,0.0909,66.7,バランス型
2017100349,34.75,37.66,-2.91,15.37,6,0.0858,60.0,バランス型
2017100477,51.66,57.32,-5.66,55.29,8,0.1082,66.7,バランス型
2017101555,48.11,49.98,-1.87,27.27,1,0.0,7.0,バランス型
2017101907,47.22,46.63,0.59,34.43,3,0.0514,33.3,バランス型
2017102491,41.24,50.67,-9.43,37.48,8,0.1053,66.7,追走持続型
2017105408,55.94,50.95,4.99,53.76,8,0.1154,66.7,バランス型
2017100406,55.83,54.53,1.29,57.22,8,0.0432,47.3,バランス型
2017103404,50.12,56.6,-6.48,52.76,7,0.1178,63.6,バランス型
2017103722,49.18,54.96,-5.78,50.18,8,0.0896,66.7,バランス型
2017105072,64.48,61.6,2.88,73.2,8,0.0776,66.5,バランス型
2017105229,54.18,56.7,-2.52,57.26,8,0.0644,59.1,バランス型
2017105610,63.31,58.59,4.73,69.8,7,0.0893,63.6,バランス型
2017110028,60.46,56.53,3.93,67.11,4,0.054,40.0,バランス型
2013103196,44.61,48.59,-3.98,27.65,2,0.1208,33.3,バランス型
2013109072,46.58,50.59,-4.01,40.35,4,0.1035,50.0,バランス型
2014105589,73.73,66.74,6.99,88.43,8,0.1412,66.7,バランス型
2014106335,52.55,54.47,-1.92,53.65,8,0.2213,66.7,バランス型
2015101376,52.73,49.42,3.31,48.21,6,0.1762,60.0,バランス型
2015101636,36.51,42.7,-6.19,22.18,6,0.2013,60.0,バランス型
2015104188,41.57,44.17,-2.6,14.14,2,0.1458,33.3,バランス型
2015104417,38.56,51.42,-12.87,35.64,8,0.154,66.7,追走持続型
2015104895,65.1,59.93,5.17,80.85,3,0.1351,42.9,バランス型
